player,salary,team,pos,opp,ceil,floor,fpts
"Cristhian Adames",3000,COL,2B/SS,WAS,,,6.1
"Nick Hundley",3200,COL,C,WAS,,,6.73
"David Dahl",3200,COL,OF,WAS,,,7.05
"Trea Turner",5400,WAS,2B/OF,COL,,,10.88
"Ben Revere",4100,WAS,OF,COL,,,8.56
"Bryce Harper",5500,WAS,OF,COL,,,11.77
"Daniel Murphy",5600,WAS,2B,COL,,,12.13
"Anthony Rendon",5000,WAS,3B,COL,,,9.1
"Danny Espinosa",3600,WAS,SS,COL,,,7.82
"Jayson Werth",4700,WAS,OF,COL,,,9.72
"Wilson Ramos",5300,WAS,C,COL,,,9.07
"Michael Bourn",3800,ARI,OF,NYM,,,5.84
"Chris Owings",3100,ARI,OF/SS,NYM,,,4.9
"Jake Lamb",4300,ARI,3B,NYM,,,7.29
"Paul Goldschmidt",4200,ARI,1B,NYM,,,7.22
"Yasmany Tomas",3600,ARI,OF,NYM,,,5.43
"Brandon Drury",3200,ARI,3B/OF,NYM,,,4.02
"Welington Castillo",3200,ARI,C,NYM,,,5.69
"Jean Segura",4700,ARI,2B,NYM,,,6.25
"Socrates Brito",2600,ARI,OF,NYM,,,4.35
"Tuffy Gosewisch",2400,ARI,C,NYM,,,4.26
"Curtis Granderson",4400,NYM,OF,ARI,,,7.51
"Jose Reyes",4000,NYM,3B/SS,ARI,,,7.56
"Neil Walker",4400,NYM,2B,ARI,,,8.27
"James Loney",3400,NYM,1B,ARI,,,5.99
"Wilmer Flores",3600,NYM,1B/3B,ARI,,,6.2
"Jay Bruce",5000,NYM,OF,ARI,,,9.36
"Alejandro De Aza",3200,NYM,OF,ARI,,,5.59
"Travis d'Arnaud",3400,NYM,C,ARI,,,5.99
"Albert Pujols",3600,LAA,1B,SEA,,,8.13
"Yunel Escobar",3100,LAA,3B,SEA,,,7.06
"Mike Trout",4400,LAA,OF,SEA,,,10.54
"Johnny Giavotella",2500,LAA,2B,SEA,,,5.54
"Kole Calhoun",3700,LAA,OF,SEA,,,5.93
"Jett Bandy",2600,LAA,C,SEA,,,6.26
"Andrelton Simmons",2700,LAA,SS,SEA,,,6.23
"Ji-Man Choi",2700,LAA,1B/OF,SEA,,,4.66
"Gregorio Petit",2200,LAA,2B/SS,SEA,,,4.59
"Jefry Marte",3000,LAA,1B/3B,SEA,,,5.45
"Norichika Aoki",4200,SEA,OF,LAA,,,5.97
"Robinson Cano",5100,SEA,2B,LAA,,,10.28
"Nelson Cruz",4800,SEA,OF,LAA,,,9.4
"Mike Zunino",3400,SEA,C,LAA,,,5.96
"Kyle Seager",5100,SEA,3B,LAA,,,8.76
"Adam Lind",3900,SEA,1B,LAA,,,6.84
"Leonys Martin",3600,SEA,OF,LAA,,,6.06
"Ketel Marte",3300,SEA,SS,LAA,,,5.44
"Seth Smith",4100,SEA,OF,LAA,,,7.08
"John Jaso",2500,PIT,1B,SFG,,,5.95
"Andrew McCutchen",3800,PIT,OF,SFG,,,7.46
"Matt Joyce",3500,PIT,OF,SFG,,,6.53
"Jordy Mercer",2600,PIT,SS,SFG,,,5.37
"Starling Marte",5000,PIT,OF,SFG,,,8.56
"Gregory Polanco",4600,PIT,OF,SFG,,,8.21
"Jung-Ho Kang",3900,PIT,3B,SFG,,,6.47
"David Freese",3400,PIT,1B/3B,SFG,,,5.72
"Josh Harrison",3300,PIT,2B,SFG,,,6.65
"Buster Posey",3400,SFG,C,PIT,,,7.09
"Brandon Belt",3600,SFG,1B,PIT,,,7.29
"Brandon Crawford",3900,SFG,SS,PIT,,,6.3
"Denard Span",4000,SFG,OF,PIT,,,6.2
"Angel Pagan",4100,SFG,OF,PIT,,,6.48
"Joe Panik",3500,SFG,2B,PIT,,,6.04
"Hunter Pence",3100,SFG,OF,PIT,,,6.86
"Eduardo Nunez",3500,SFG,3B/SS,PIT,,,6.16
"Francisco Cervelli",2900,PIT,C,SFG,10.26,0,5.13
